Name,Where,Kills (Hour or Lap),Notes
Bog Raider,Oramond Hydras,900,Hour
Nightmare Scion,Krailos,800,Hour
Pirat Cutthroat,Rascacoon Mines,750,Hour
Midnight Asura,Asura Mirror,650,Hour
Hellspawn,Oramond Catacombs,550,Hour
Silencer,Roshamuul Valley (West),550,Hour
Feversleep,Roshamuul Cistern,500,Hour
Wiggler,Truffels Garden (Wz 1-3 tasks),450,Hour
Drillworm,Warzone 4,450,Hour
Sea Serpent,Birthing Grounds (Oramond),450,Hour
Spectre,Pumin Boss Floor,400,Hour
Destroyer,Oramond Catacombs,360,Hour
Worm Priestess,Oramond Fury Dungeon +1,320,Hour
Massive Earth Elemental,Truffels Garden (Wz 1-3 tasks),300,Hour
Midnight Asura,Asura Palace,300,Hour
Pirat Bombardier,Rascacoon Mines,300,Hour
Execowtioner,Oramond Fury Dungeon +1,300,Hour
Moohtant,Oramond Fury Dungeon +1,300,Hour
Hellspawn,Asura Palace,270,Hour
Hellspawn,Asura Mirror,250,Hour
Silencer,Upper Roshamuul (North),250,Hour
Pirat Scoundrel,Rascacoon Mines,225,Hour
Plaguesmith,Prison -3,200,Hour
Crystalcrusher,Crystal Grounds,42,Lap
Enlightened of the Cult,Formorgar Mines,40,Lap
Quara Predator Scout,Malada Surface and Undergrounds,36,Lap
Quara Predator Scout,Talahu Surface and Undergrounds,36,Lap
Quara Constrictor Scout,Malada Surface and Undergrounds,34,Lap
Ice Golem,Nibelor Ice Cave,34,Lap
Quara Hydromancer Scout,Talahu Surface and Undergrounds,33,Lap
Quara Hydromancer,Calassa,30,Lap
Quara Pincher Scout,Malada Surface and Undergrounds,30,Lap
Quara Pincher Scout,Talahu Surface and Undergrounds,29,Lap
Quara Constrictor Scout,Talahu Surface and Undergrounds,27,Lap
Quara Mantassin Scout,Talahu Surface and Undergrounds,26,Lap
Quara Hydromancer Scout,Malada Surface and Undergrounds,24,Lap
Quara Mantassin Scout,Malada Surface and Undergrounds,22,Lap
Enlightened of the Cult,Yalahar Magician,20,Lap
Crystal Spider,Nibelor Ice Cave,19,Lap
Earth Elemental,Crystal Grounds,19,Lap
Quara Mantassin Scout,Liberty Bay Quaras -1,13,Lap
Wyvern,Crystal Grounds,13,Lap
Nightmare,Cemetery Quarter,12,Lap
Quara Predator Scout,Liberty Bay Quaras -1,11,Lap
Quara Pincher Scout,Liberty Bay Quaras -1,11,Lap
Quara Constrictor Scout,Liberty Bay Quaras -1,8,Lap
Enlightened of the Cult,Ankrahmun Cult Cave,7,Lap
Quara Hydromancer Scout,Liberty Bay Quaras -1,4,Lap
Dwarf Geomancer,Port Hope Dwarf Cave,4,Lap
